Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional,Year
QB,Aaron Rodgers,GNB,31,9,16,16,341,520,4381,38,5,43,269,2,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,RodgAa00,2014
QB,Tom Brady,NWE,37,14,16,16,373,582,4109,33,9,36,57,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,BradTo00,2014
QB,Tony Romo,DAL,34,10,15,15,304,435,3705,34,9,26,61,0,0,0,0,0,0.0,0,AP: 2nd Tm,RomoTo00,2014
QB,Ben Roethlisberger,PIT,32,10,16,16,408,608,4952,32,9,33,27,0,0,-6,0,0,0.0,0,PFF: 2nd Tm,RoetBe00,2014
RB,Le'Veon Bell,PIT,22,1,16,16,0,0,0,0,0,290,1361,8,83,854,3,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,BellLe00,2014
RB,DeMarco Murray,DAL,26,3,16,16,0,0,0,0,0,392,1845,13,57,416,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,MurrDe00,2014
RB,Marshawn Lynch,SEA,28,7,16,14,0,0,0,0,0,280,1306,13,37,367,4,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,LyncMa00,2014
RB,Justin Forsett,BAL,29,6,16,14,0,0,0,0,0,235,1266,8,44,263,0,0,0.0,0,FW: 1st Tm All-Conf.,ForsJu00,2014
FB,Anthony Sherman,KAN,26,3,16,6,0,0,0,0,0,2,8,0,10,71,1,13,0.0,0,PFF: 1st Tm AP: 2nd Tm,SherAn00,2014
FB,John Kuhn,GNB,32,8,16,2,0,0,0,0,0,24,85,1,4,23,0,1,0.0,0,AP: 1st Tm,KuhnJo00,2014
FB,Bruce Miller,SFO,27,3,16,8,0,0,0,0,0,6,9,0,18,189,2,1,0.0,0,PFF: 2nd Tm,MillBr02,2014
WR,Antonio Brown,PIT,26,4,16,16,2,2,20,1,0,4,13,0,129,1698,13,1,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,BrowAn04,2014
WR,Dez Bryant,DAL,26,4,16,16,0,0,0,0,0,0,0,0,88,1320,16,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm,BryaDe01,2014
WR,Jordy Nelson,GNB,29,6,16,16,0,0,0,0,0,0,0,0,98,1519,13,1,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm SN: 1st Tm,NelsJo00,2014
WR,Odell Beckham Jr.,NYG,22,Rook,12,11,0,1,0,0,0,7,35,0,91,1305,12,1,0.0,0,PFF: 1st Tm,BeckOd00,2014
WR,Emmanuel Sanders,DEN,27,4,16,16,0,0,0,0,0,8,44,0,101,1404,9,0,0.0,0,PFF: 1st Tm,SandEm00,2014
WR,Julio Jones,ATL,25,3,15,15,0,0,0,0,0,1,1,0,104,1593,6,0,0.0,0,SN: 1st Tm,JoneJu02,2014
WR,Demaryius Thomas,DEN,27,4,16,16,0,0,0,0,0,0,0,0,111,1619,11,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,ThomDe03,2014
WR,Randall Cobb,GNB,24,3,16,16,0,0,0,0,0,11,37,0,91,1287,12,0,0.0,0,PFF: 2nd Tm,CobbRa00,2014
TE,Rob Gronkowski,NWE,25,4,15,10,0,0,0,0,0,0,0,0,82,1124,12,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,GronRo00,2014
TE,Greg Olsen,CAR,29,7,16,16,0,0,0,0,0,0,0,0,84,1008,6,0,0.0,0,FW: 1st Tm All-Conf. PFF: 2nd Tm,OlseGr00,2014
T,Tyron Smith,DAL,24,3,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,SmitTy00,2014
T,Jason Peters,PHI,32,10,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 1st Tm SN: 1st Tm,PeteJa21,2014
T,Joe Thomas,CLE,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,ThomJo28,2014
T,Andrew Whitworth,CIN,33,8,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,WhitAn20,2014
LG,Kelechi Osemele,BAL,25,2,14,14,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFF: 2nd Tm,OsemKe00,2014
